id,type,model,prompt,reference,license,date,note
room7,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, cinematic wide shot. Interior of an isolation room No.7: bare concrete walls, a single small barred window high on the wall, a simple iron bed with white sheets, a dim bare light bulb hanging from the ceiling, a wall clock faintly visible, empty room, no people, oppressive silence",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
clock,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, cinematic wide shot. Close-up of an old Japanese wall pendulum clock (Seikosha style) on a concrete wall, brass pendulum mid-swing, faint motion blur suggesting a deep humming chime, dust in the air, extreme shallow focus",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
manuscript,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, cinematic wide shot. A cluttered specimen room: glass display cabinets with dusty jars and strange handmade objects made by patients, on the nearest shelf a thick worn manuscript bound with string, five volumes, tattered brown pages, a red ink numeral on the cover, top-down slightly angled view, vermilion accent on the ink only",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
corridor,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. Long empty hospital corridor at night, wooden floor, rows of closed doors with small barred windows, a single dim bulb far away, deep perspective, oppressive silence",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
ward,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. Open-air 'free treatment ground' of a psychiatric hospital: a wide courtyard garden inside high walls, patients' handmade objects scattered, a small stage, autumn light, empty",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
street,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. A Taisho-era street corner in Fukuoka at dusk, a street performer's spot with a folding lantern and a wooden clapper on the ground, paper flyers on a wall, no readable text",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
lecture,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. An old university lecture hall / professor's study with tall bookshelves, a lectern, anatomical brain models, a slide projector, dust in the light beam",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
paper,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. Extreme close-up of aged manuscript paper texture with faint vertical ruled lines, ink stains, slightly curled edge, warm sepia, soft focus, no writing",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
scroll,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. An unrolled ancient Chinese-style painted hand scroll on a wooden desk, faded pigments, silk border, a portion showing a woman's figure blurred, candlelight",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
newspaper,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. A folded Taisho-era Japanese newspaper on a wooden table beside a teacup, halftone texture, headlines blurred beyond legibility, morning light",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
letter,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. An old handwritten letter on thin paper with an envelope, a brush and ink stone, on a low wooden table, lamp light, characters blurred beyond legibility",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
night,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. Night sea seen from a pine-covered shore, a full moon, a distant lighthouse, calm dark water, mist",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
dark,image,gemini-3.1-flash-image,"1926 Japan, Kyushu Imperial University psychiatric hospital, early Showa-era photograph aesthetic, sepia monochrome with a single muted vermilion accent, film grain, soft vignette, etching texture, no modern objects, no text, no letters, no numerals, no signage, no brand marks, no people, cinematic wide shot. Near-black frame with a faint sepia glow at the center like an old film leader, dust and scratches, nothing else",,"generated (Google Gemini API, project use)",2026-09-03,aspect 16:9
